student,course,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,englishSymbolicSwitchCount,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
ywang103,CSC226-001-STADDON-S16,607,2,4593.557,4274.247,319.31,7.397032206,2.876666667,8.380876471,15.72487718,8,49,40,41,25,118,53,102,74,28,0.128329298,0.490740741,0.203454894,503,0,503,0,503,1,90,413,0.821073559,0.003976143,0.178926441,0,0,77,2,0
ealdama,CSC226-001-STADDON-S16,2529,5,16342.535,15999.797,342.738,6.38879398,5.618655738,6.40760793,11.12398499,0,137,114,209,72,248,279,255,152,103,0.124776386,2.051470588,0.235244519,2300,10,1939,371,2310,2,74,2236,0.967965368,0.002164502,0.032034632,660,4,44,0,0
lmmoland,CSC226-001-STADDON-S16,841,12,5426.214,4901.984,524.23,6.258608997,8.885254237,6.066811881,11.63795909,2,75,38,53,14,213,99,81,64,17,0.164179104,0.916666667,0.278481013,654,0,654,0,654,0,51,603,0.922018349,0.018348624,0.077981651,73,2,36,0,11
phgwynne,CSC226-001-STADDON-S16,1364,0,4542.858,4422.933,119.925,3.265893602,2.103947368,3.315541979,5.034067694,2,54,72,69,16,327,156,55,38,17,0.156,1.444444444,0.281588448,1060,4,526,538,1064,0,64,1000,0.939849624,0,0.060150376,272,2,36,6,26
ljvandep,CSC226-001-STADDON-S16,1877,18,9235.049,8781.962,453.087,4.835104188,6.381507042,4.775400761,8.693934039,6,76,91,119,47,351,159,174,111,63,0.107577808,1.314049587,0.198874296,1529,30,1558,1,1559,0,81,1478,0.948043618,0.011545863,0.051956382,513,2,48,0,27
rcquisto,CSC226-001-STADDON-S16,1269,20,7085.885,6516.119,569.766,5.471725869,6.401865169,5.403083748,10.15380149,2,62,54,80,8,265,124,80,49,31,0.137168142,0.389937107,0.20294599,1029,1,1030,0,1030,0,126,904,0.877669903,0.019417476,0.122330097,273,2,62,0,12
tlcheek,CSC226-001-STADDON-S16,1130,1,6065.172,5258.626,806.546,5.224093023,7.537813084,4.989208729,10.01870967,0,68,49,48,12,495,114,63,38,25,0.184764992,1.055555556,0.314482759,663,3,552,114,666,0,49,617,0.926426426,0.001501502,0.073573574,50,4,36,5,4
jmtimper,CSC226-001-STADDON-S16,2083,48,9327.396,9140.152,187.244,4.418472762,3.467481481,4.443438017,7.341000678,2,100,89,111,47,257,182,166,89,77,0.103703704,1.75,0.195804196,1846,8,1443,411,1854,0,99,1755,0.946601942,0.025889968,0.053398058,520,0,36,2,33
maskelto,CSC226-001-STADDON-S16,2036,51,11552.652,11244.316,308.336,5.57022758,3.902987342,5.636248622,10.19237036,4,167,143,156,65,359,219,312,198,114,0.138695377,1.140625,0.247317899,1715,0,1713,2,1715,4,136,1579,0.920699708,0.029737609,0.079300292,46,2,50,1,25
mdsonnen,CSC226-001-STADDON-S16,1370,11,11731.968,11540.132,191.836,8.368022825,3.487927273,8.567284336,14.14186938,0,114,83,109,42,218,209,139,69,70,0.185283688,1.727272727,0.334667734,1184,0,1184,0,1184,0,56,1128,0.952702703,0.009290541,0.047297297,62,2,39,0,30
jhwooste,CSC226-001-STADDON-S16,1627,26,12469.109,11667.88,801.229,7.502472323,10.0153625,7.37539823,13.33796928,2,138,86,178,4,323,279,127,59,68,0.230578512,1.279816514,0.390756303,1338,1,1328,11,1339,1,129,1210,0.903659447,0.019417476,0.096340553,0,4,50,3,30
jtaboad,CSC226-001-STADDON-S16,3637,51,17923.123,17554.988,368.135,4.882354399,6.817314815,4.853466409,10.02879683,8,221,150,256,129,479,254,503,196,307,0.082979418,2.490196078,0.160607019,3181,11,1859,1333,3192,2,131,3061,0.9589599,0.015977444,0.0410401,972,8,37,0,84
ajsawyer,CSC226-001-STADDON-S16,1482,29,11079.256,10657.986,421.27,7.322707204,6.58234375,7.355407867,14.79196897,8,89,60,85,2,595,151,87,63,24,0.185503686,1.094202899,0.317226891,910,8,420,498,918,1,104,814,0.88671024,0.031590414,0.11328976,21,18,28,0,19
sdllewel,CSC226-001-STADDON-S16,1490,1,7568.427,7147.591,420.836,4.982506254,5.132146341,4.973967293,7.992007403,0,72,66,122,61,259,220,101,57,44,0.18707483,1.456953642,0.331574981,1260,0,908,352,1260,2,84,1176,0.933333333,0.000793651,0.066666667,219,2,60,0,8
pfleimer,CSC226-001-STADDON-S16,2059,11,14541.78,14058.044,483.736,6.967791088,6.20174359,6.997533101,11.05848247,2,66,71,164,49,430,222,128,81,47,0.140684411,1.656716418,0.259345794,1653,4,1657,0,1657,6,79,1578,0.952323476,0.006638503,0.047676524,315,6,44,6,103
bjyounce,CSC226-001-STADDON-S16,1532,25,6437.795,6359.491,78.304,4.121507682,1.666042553,4.197683828,7.865583814,10,102,82,80,17,253,131,150,62,88,0.105815832,1.259615385,0.195230999,1278,31,1309,0,1309,0,71,1238,0.945760122,0.019098549,0.054239878,301,4,33,0,30
ampoe3,CSC226-001-STADDON-S16,1535,32,10857.224,10312.369,544.855,6.915429299,6.053944444,6.967816892,11.18878742,16,77,68,96,32,310,166,107,61,46,0.150635209,0.798076923,0.253435115,1244,16,1259,1,1260,18,158,1102,0.874603175,0.025396825,0.125396825,253,8,65,0,12
mamajett,CSC226-001-STADDON-S16,1144,25,6534.134,6352.523,181.611,5.575199659,3.63222,5.661785205,9.79209565,2,98,60,64,23,174,128,117,51,66,0.138378378,1.174311927,0.247582205,996,2,503,495,998,0,73,925,0.926853707,0.0250501,0.073146293,175,4,28,1,6
marora2,CSC226-001-STADDON-S16,2574,112,15741.738,15316.06,425.678,6.049860876,5.191195122,6.077801587,10.6321265,4,151,140,262,72,328,249,376,210,166,0.122058824,1.338709677,0.223719677,2271,3,2245,29,2274,2,234,2040,0.897097625,0.049252419,0.102902375,16,8,57,4,29
klsebast,CSC226-001-STADDON-S16,1275,15,8723.634,8466.508,257.126,6.679658499,5.713911111,6.714122125,9.999130405,2,74,58,113,17,204,167,95,71,24,0.162293489,1.3046875,0.288677615,1102,0,1096,6,1102,4,73,1029,0.933756806,0.013611615,0.066243194,128,4,29,4,22
srritter,CSC226-001-STADDON-S16,812,22,4911.285,4642.348,268.937,5.874742823,2.955351648,6.231339597,9.577991645,0,59,43,57,5,140,124,40,29,11,0.214162349,0.561085973,0.31,696,0,696,0,696,0,117,579,0.831896552,0.031609195,0.168103448,51,4,69,0,7
ssganni,CSC226-001-STADDON-S16,844,2,3082.666,3029.205,53.461,3.543294253,1.091040816,3.689652862,6.090892736,2,45,39,87,14,178,126,59,25,34,0.200956938,0.992125984,0.334217507,692,0,686,6,692,2,65,627,0.906069364,0.002890173,0.093930636,33,3,34,0,21
wjglas,CSC226-001-STADDON-S16,1502,22,7075.669,6473.736,601.933,4.612561278,5.280114035,4.558969014,8.665117596,0,97,88,96,51,290,146,186,125,61,0.127734033,0.986486486,0.226181255,1244,0,1161,83,1244,0,101,1143,0.918810289,0.017684887,0.081189711,293,0,62,5,11
nrconlon,CSC226-001-STADDON-S16,1723,14,7793.06,7507.693,285.367,4.45572327,5.095839286,4.434549911,7.569688637,14,130,62,93,27,252,147,165,69,96,0.103013315,1.361111111,0.191530945,1494,3,1362,135,1497,2,70,1427,0.953239813,0.009352037,0.046760187,336,2,37,1,28
adhayes2,CSC226-001-STADDON-S16,1006,0,3833.188,3413.117,420.071,3.714329457,6.269716418,3.536908808,7.452676104,2,68,66,58,4,269,127,69,31,38,0.182733813,1.175925926,0.316313823,763,0,327,436,763,0,68,695,0.910878113,0,0.089121887,60,4,40,7,12
kabartus,CSC226-001-STADDON-S16,1116,14,3358.721,3224.497,134.224,2.938513561,2.354807018,2.969150092,5.382421885,2,57,45,66,11,305,116,63,35,28,0.153439153,1.074074074,0.268518519,834,4,838,0,838,12,82,756,0.902147971,0.016706444,0.097852029,178,8,37,1,11
kjeanne,CSC226-001-STADDON-S16,1300,1,8086.822,7625.449,461.373,6.089474398,6.784897059,6.051943651,10.28720578,0,101,72,139,22,153,117,217,100,117,0.105121294,1.063636364,0.191332788,1165,10,1175,0,1175,0,62,1113,0.947234043,0.000851064,0.052765957,158,4,49,7,15
cntucke2,CSC226-001-STADDON-S16,1573,36,9148.877,8533.355,615.522,5.700234891,7.891307692,5.588313687,8.853171859,0,135,69,82,45,206,151,180,123,57,0.117236025,1.02027027,0.210306407,1395,4,1221,178,1399,1,111,1288,0.920657613,0.025732666,0.079342387,417,2,56,5,4
nabruins,CSC226-001-STADDON-S16,701,7,3507.677,3456.68,50.997,4.824865199,0.836016393,5.19021021,9.293737417,0,58,42,54,21,169,119,56,26,30,0.24040404,0.9296875,0.382022472,556,2,506,52,558,2,63,495,0.887096774,0.012544803,0.112903226,0,0,43,0,6
sfang3,CSC226-001-STADDON-S16,1203,56,6910.783,6756.661,154.122,5.61395857,2.2665,5.809682717,10.48850049,0,135,63,83,2,173,157,126,35,91,0.166843783,1.026143791,0.28702011,1057,1,1058,0,1058,0,117,941,0.889413989,0.052930057,0.110586011,0,0,47,1,33
mlmeeks,CSC226-001-STADDON-S16,794,0,3556.684,3261.889,294.795,4.337419512,5.264196429,4.26948822,7.619558362,2,50,53,28,1,177,100,32,24,8,0.168918919,0.925925926,0.285714286,643,0,519,124,643,4,51,592,0.920684292,0,0.079315708,137,4,37,1,2
hmealey,CSC226-001-STADDON-S16,2117,18,11376.799,10587.406,789.393,5.301397484,11.60872059,5.094998075,9.588796548,14,110,78,139,22,382,159,191,112,79,0.094755662,1.472222222,0.178051512,1754,10,1594,170,1764,2,86,1678,0.951247166,0.010204082,0.048752834,558,2,39,3,29
nwelch2,CSC226-001-STADDON-S16,5188,114,33835.505,32426.182,1409.323,6.47321695,11.84305042,6.348117071,12.0271626,0,500,269,355,22,1238,424,722,200,522,0.117386489,0.569892473,0.194674013,3961,28,3983,6,3989,4,377,3612,0.905490098,0.028578591,0.094509902,177,18,56,0,47
hmnguye3,CSC226-001-STADDON-S16,1329,0,5541.359,5457.326,84.033,4.083536478,1.556166667,4.18827782,7.755506889,2,84,88,108,33,291,178,138,81,57,0.176762661,1.338345865,0.312280702,1065,1,1013,53,1066,2,59,1007,0.944652908,0,0.055347092,35,5,36,0,14
dfkromer,CSC226-001-STADDON-S16,2077,38,12109.585,11701.889,407.696,5.744584915,4.796423529,5.784423628,9.641305155,4,156,132,215,41,365,245,299,190,109,0.152647975,0.95703125,0.263299301,1740,3,1743,0,1743,0,138,1605,0.920826162,0.021801492,0.079173838,93,6,54,0,6
jwmcadam,CSC226-001-STADDON-S16,510,6,2930.588,2783.307,147.281,5.447189591,2.454683333,5.822817992,11.18730771,0,52,26,26,7,141,86,25,15,10,0.242253521,0.796296296,0.371490281,397,0,397,0,397,0,42,355,0.894206549,0.01511335,0.105793451,0,0,36,0,0
jakauffm,CSC226-001-STADDON-S16,1364,40,7012.179,6828.223,183.956,5.033868629,2.328556962,5.196516743,10.1448608,11,110,93,51,25,396,124,156,132,24,0.141391106,0.837837838,0.24195122,997,0,797,200,997,2,120,877,0.879638917,0.040120361,0.120361083,117,2,45,8,14
cchillen,CSC226-001-STADDON-S16,1553,3,8137.252,7904.402,232.85,5.140399242,2.503763441,5.304967785,9.100344568,6,78,75,121,33,351,145,162,97,65,0.128318584,1.25,0.232744783,1214,18,1231,1,1232,10,102,1130,0.917207792,0.002435065,0.082792208,53,6,53,18,24
asgargan,CSC226-001-STADDON-S16,1485,28,9764.781,9429.001,335.78,6.424198026,6.995416667,6.405571332,11.55018719,14,91,71,87,10,269,180,79,60,19,0.152931181,1.475409836,0.277136259,1230,21,1251,0,1251,0,74,1177,0.940847322,0.022382094,0.059152678,317,2,29,0,24
wgtolone,CSC226-001-STADDON-S16,888,1,3148.528,3082.702,65.826,3.437257642,1.079114754,3.605499415,5.878266549,0,59,43,86,18,162,156,50,35,15,0.223816356,1.31092437,0.382352941,754,0,754,0,754,0,57,697,0.924403183,0.00132626,0.075596817,4,0,44,0,17
hqbui,CSC226-001-STADDON-S16,1319,27,3897.615,3655.367,242.248,2.889262417,3.615641791,2.851300312,5.051764977,4,79,54,56,23,420,126,86,37,49,0.153846154,0.954545455,0.264984227,924,5,929,0,929,24,110,819,0.881593111,0.029063509,0.118406889,83,12,33,4,41
jdmalatr,CSC226-001-STADDON-S16,1391,97,12844.472,12288.756,555.716,9.007343619,5.145518519,9.323790592,14.03342618,4,79,69,76,29,267,151,102,56,46,0.158280922,0.608870968,0.25124792,1147,12,1157,2,1159,2,205,954,0.823123382,0.083692839,0.176876618,269,12,42,15,9
nlrobson,CSC226-001-STADDON-S16,490,5,3813.103,3650.139,162.964,7.389734496,2.469151515,8.11142,13.28877525,0,34,24,33,16,116,95,12,11,1,0.277777778,0.913461538,0.426008969,400,0,400,0,400,2,58,342,0.855,0.0125,0.145,10,2,47,0,12
jkayani,CSC226-001-STADDON-S16,848,0,5804.812,5699.082,105.73,6.634070857,2.157755102,6.899615012,11.67522867,4,77,61,45,20,146,119,84,72,12,0.175257732,1.101851852,0.302414231,728,1,729,0,729,2,50,679,0.931412894,0,0.068587106,21,4,36,0,19
cjenriqu,CSC226-001-STADDON-S16,2207,11,15009.125,14363.271,645.854,6.724518369,8.175367089,6.671282397,9.948415598,2,132,75,160,37,233,188,216,140,76,0.09761163,1.724770642,0.184766585,1999,0,1999,0,1999,2,73,1926,0.963481741,0.005502751,0.036518259,594,4,45,0,37
cbwagner,CSC226-001-STADDON-S16,2212,11,7245.016,6788.261,456.755,3.227178619,2.625028736,3.277769676,5.72825041,4,171,112,158,98,450,159,380,211,169,0.094982079,0.742990654,0.168432203,1779,16,1792,3,1795,0,121,1674,0.932590529,0.006128134,0.067409471,179,4,57,8,16
scfausz,CSC226-001-STADDON-S16,1263,14,9323.326,8815.359,507.967,7.210615623,6.772893333,7.237568966,11.01089718,2,62,64,58,26,257,131,82,46,36,0.138771186,0.942446043,0.241920591,1025,11,931,105,1036,1,92,944,0.911196911,0.013513514,0.088803089,239,4,45,14,11
mcheiden,CSC226-001-STADDON-S16,1619,3,11570.636,10953.249,617.387,7.02101699,6.364814433,7.062056093,10.4233989,4,144,100,157,35,209,213,223,146,77,0.156617647,1.5,0.283621838,1439,0,1438,1,1439,0,79,1360,0.945100764,0.002084781,0.054899236,137,6,48,1,39
jepatzer,CSC226-001-STADDON-S16,679,5,3257.326,3139.479,117.847,4.607250354,1.571293333,4.967530063,9.855298828,2,54,53,33,14,173,103,51,47,4,0.214137214,0.980952381,0.351535836,532,2,455,79,534,0,53,481,0.900749064,0.009363296,0.099250936,13,2,42,0,19
kgohel2,CSC226-001-STADDON-S16,1547,233,9276.74,8775.608,501.132,5.860227416,4.107639344,6.006576318,12.3434694,4,144,81,34,2,297,120,141,57,84,0.126984127,0.526315789,0.204603581,1280,6,1281,5,1286,2,341,945,0.734836703,0.18118196,0.265163297,127,2,42,18,1
dauchman,CSC226-001-STADDON-S16,2374,118,12668.467,12240.98,427.487,5.260991279,4.547734043,5.289965428,11.63554215,12,192,121,203,90,510,186,420,233,187,0.113069909,0.989361702,0.20294599,1883,15,1891,7,1898,4,253,1645,0.866701791,0.062170706,0.133298209,131,2,64,4,57
rbwest,CSC226-001-STADDON-S16,1458,23,9524.713,9123.828,400.885,6.366786765,6.794661017,6.349219207,11.18594976,2,112,109,60,46,262,226,104,80,24,0.199294533,1.262569832,0.34424981,1218,16,893,341,1234,4,100,1134,0.918962723,0.018638574,0.081037277,37,2,43,0,12
jwschaff,CSC226-001-STADDON-S16,1445,1,5650.259,5482.649,167.61,3.828088753,2.464852941,3.893926847,6.704325426,0,124,68,118,5,338,124,191,89,102,0.114814815,1.137614679,0.208578638,1108,30,1138,0,1138,0,58,1080,0.949033392,0.000878735,0.050966608,196,0,44,4,5
tmsmiley,CSC226-001-STADDON-S16,1044,15,6158.727,5606.174,552.553,5.750445378,7.084012821,5.645693857,11.06860094,2,114,71,68,33,159,118,168,85,83,0.139976275,1.156862745,0.24973545,900,12,912,0,912,0,69,843,0.924342105,0.016447368,0.075657895,47,2,45,4,34
lhmenden,CSC226-001-STADDON-S16,1166,9,4850.892,4512.242,338.65,4.062723618,3.641397849,4.098312443,7.846669364,0,88,62,60,6,357,143,73,45,28,0.193243243,1.361904762,0.338461538,836,1,798,39,837,0,97,740,0.884109916,0.010752688,0.115890084,3,0,43,28,9
sjletica,CSC226-001-STADDON-S16,542,2,2905.881,2467.608,438.273,5.115987676,5.922608108,4.995157895,10.5126252,2,36,33,15,3,167,77,10,7,3,0.223188406,0.733333333,0.342222222,401,0,334,67,401,0,56,345,0.860349127,0.004987531,0.139650873,50,2,46,0,2
jeclark5,CSC226-001-STADDON-S16,1283,24,7281.009,6872.652,408.357,5.54110274,4.48743956,5.619502862,9.583107439,2,86,51,84,8,358,132,97,54,43,0.153310105,0.88590604,0.261386139,954,2,954,2,956,7,95,861,0.900627615,0.025104603,0.099372385,105,2,47,2,17
tjdeaton,CSC226-001-STADDON-S16,1817,61,7917.445,7635.489,281.956,4.28433171,3.661766234,4.311399774,9.313364037,2,142,112,110,4,335,179,189,97,92,0.133781764,0.579288026,0.217364906,1505,8,1509,4,1513,0,175,1338,0.884335757,0.04031725,0.115664243,111,2,54,1,27
kjenkin3,CSC226-001-STADDON-S16,892,40,5919.737,5690.678,229.059,6.434496739,3.095391892,6.72656974,10.65545776,0,79,75,69,11,115,151,83,52,31,0.216642755,0.993421053,0.355712603,805,0,717,88,805,0,108,697,0.865838509,0.049689441,0.134161491,0,0,49,1,2
jrconrad,CSC226-001-STADDON-S16,1557,43,14210.104,13759.617,450.487,8.954066793,6.087662162,9.094261071,15.36302957,6,115,64,102,14,456,181,114,67,47,0.179030663,1.256944444,0.313419913,1126,5,1131,0,1131,4,120,1011,0.893899204,0.038019452,0.106100796,0,2,49,0,36
ccyu,CSC226-001-STADDON-S16,2317,18,10226.042,9889.053,336.989,4.360785501,5.524409836,4.329707968,6.677376998,0,114,71,172,64,242,186,235,131,104,0.092399404,0.805194805,0.165775401,2089,14,2101,2,2103,0,90,2013,0.957203994,0.008559201,0.042796006,857,0,41,0,2
bjarring,CSC226-001-STADDON-S16,590,9,2522.283,2441.259,81.024,4.074770598,1.209313433,4.422570652,8.526622699,0,50,34,31,5,130,99,21,10,11,0.234042553,0.925233645,0.373584906,489,0,416,73,489,0,66,423,0.865030675,0.018404908,0.134969325,26,0,46,0,4
kckwazem,CSC226-001-STADDON-S16,1260,11,11130.454,10010.499,1119.955,8.581691596,11.08866337,8.369982441,14.08387646,6,94,68,46,8,258,141,75,57,18,0.146875,1.226086957,0.262325581,1039,0,1032,7,1039,3,79,960,0.923965351,0.010587103,0.076034649,7,3,39,4,26
wbotuel,CSC226-001-STADDON-S16,1437,53,6677.941,6412.46,265.481,4.545909462,3.360518987,4.613280576,6.274587799,4,65,46,76,3,251,125,65,36,29,0.116387337,0.560538117,0.192752506,1217,1,1218,0,1218,0,144,1074,0.881773399,0.043513957,0.118226601,477,0,58,0,17
esworthy,CSC226-001-STADDON-S16,857,11,5573.249,5368.299,204.95,6.262077528,2.927857143,6.546706098,11.43757335,2,62,63,34,4,234,106,57,47,10,0.181506849,0.736111111,0.291208791,652,4,655,1,656,0,72,584,0.890243902,0.016768293,0.109756098,53,2,48,0,5
hrpoe,CSC226-001-STADDON-S16,858,39,3961.637,3633.686,327.951,4.476425989,3.452115789,4.599602532,9.382661308,2,46,32,103,8,237,99,90,20,70,0.185393258,0.942857143,0.309859155,648,0,647,1,648,0,114,534,0.824074074,0.060185185,0.175925926,65,2,54,15,7
gtstewar,CSC226-001-STADDON-S16,2103,70,11860.494,11391.912,468.582,5.555266511,7.437809524,5.498027027,9.730609344,0,157,168,100,22,259,172,275,139,136,0.100350058,0.661538462,0.174265451,1853,23,1863,13,1876,0,162,1714,0.913646055,0.037313433,0.086353945,489,4,37,0,17
cnray2,CSC226-001-STADDON-S16,647,7,4214.732,3509.104,705.628,6.290644776,6.850757282,6.188895944,9.741136937,2,34,28,19,5,132,67,19,11,8,0.148230088,0.614678899,0.23885918,536,2,537,1,538,0,86,452,0.840148699,0.013011152,0.159851301,173,4,67,3,2
sabeesle,CSC226-001-STADDON-S16,1079,1,5740.686,5449.305,291.381,5.204611061,2.801740385,5.45475976,9.621459854,2,84,43,87,16,225,95,135,69,66,0.11875,0.887850467,0.209481808,877,1,878,0,878,6,78,800,0.911161731,0.001138952,0.088838269,28,8,56,1,15
cgtacker,CSC226-001-STADDON-S16,1213,0,7784.703,7647.664,137.039,6.288128433,1.986072464,6.542056459,10.38127336,0,69,67,42,30,228,100,108,80,28,0.106044539,0.952380952,0.190839695,1010,0,1010,0,1010,4,67,943,0.933663366,0,0.066336634,242,4,48,4,11
wdhall3,CSC226-001-STADDON-S16,1374,39,11443.164,11225.194,217.97,8.150401709,3.45984127,8.370763609,13.23531552,4,88,64,104,2,259,160,98,49,49,0.151802657,1.467889908,0.275150473,1123,22,1144,1,1145,0,91,1054,0.920524017,0.034061135,0.079475983,154,0,42,0,36
emalhajj,CSC226-001-STADDON-S16,2055,55,13632.769,13022.087,610.682,6.522855981,7.184494118,6.494806484,9.956845403,4,104,89,125,43,282,187,174,67,107,0.11500615,0.979057592,0.205833792,1790,18,1167,641,1808,1,182,1626,0.899336283,0.030420354,0.100663717,264,4,57,3,27
rfgoodni,CSC226-001-STADDON-S16,903,0,6110.192,5896.668,213.524,6.521016009,5.619052632,6.559141268,11.99994257,4,64,61,46,8,217,134,45,20,25,0.196480938,1.300970874,0.341401274,720,0,604,116,720,4,38,682,0.947222222,0,0.052777778,175,2,24,0,3
msmith7,CSC226-001-STADDON-S16,1071,16,6639.765,5912.293,727.472,5.987164112,7.907304348,5.81346411,11.37700789,6,64,44,91,10,266,124,85,44,41,0.162729659,1.097345133,0.283428571,838,5,843,0,843,0,81,762,0.903914591,0.018979834,0.096085409,157,6,43,9,21
mbkilroy,CSC226-001-STADDON-S16,1774,33,13310.784,12990.742,320.042,7.37848337,3.7652,7.557150669,11.34312852,2,89,73,210,10,211,210,172,102,70,0.144528562,0.954545455,0.251046025,1583,10,1460,133,1593,0,140,1453,0.912115505,0.020715631,0.087884495,146,4,55,3,107
cbritt,CSC226-001-STADDON-S16,2400,11,14953.967,14618.78,335.187,6.16658433,3.455536082,6.279544674,11.19680738,0,84,69,209,54,373,200,216,135,81,0.101936799,1.818181818,0.193050193,2041,11,2052,0,2052,10,90,1962,0.956140351,0.005360624,0.043859649,691,4,60,3,87
mbbennis,CSC226-001-STADDON-S16,1719,17,4849.19,4636.627,212.563,2.770965714,1.586291045,2.869199876,5.680667564,2,72,45,52,28,457,108,93,57,36,0.092307692,0.662576687,0.16204051,1293,0,978,315,1293,5,123,1170,0.90487239,0.013147718,0.09512761,0,6,51,5,4
kbmullea,CSC226-001-STADDON-S16,2985,18,13111.173,12362.218,748.955,4.351534351,5.944087302,4.282029096,8.439313126,6,148,102,298,54,768,276,326,144,182,0.129153018,2.262295082,0.24435591,2245,0,2243,2,2245,0,108,2137,0.951893096,0.008017817,0.048106904,32,0,63,15,129
gitopali,CSC226-001-STADDON-S16,959,0,7211.041,6864.115,346.926,7.328293699,4.688189189,7.542983516,12.41989805,0,62,54,72,4,132,112,80,50,30,0.139130435,1.066666667,0.246153846,852,0,852,0,852,0,47,805,0.944835681,0,0.055164319,195,2,43,0,27
ktvalaku,CSC226-001-STADDON-S16,1654,24,10145.427,9966.192,179.235,6.006765542,2.715681818,6.140598891,9.361083716,0,89,70,90,32,150,171,110,73,37,0.117687543,1.06875,0.212027278,1513,26,1539,0,1539,0,86,1453,0.944119558,0.015594542,0.055880442,619,2,42,3,58
dalacey,CSC226-001-STADDON-S16,826,4,5087.605,4951.5,136.105,5.936528588,2.160396825,6.236146096,8.585627139,0,51,34,40,4,139,86,43,26,17,0.129909366,0.774774775,0.222509702,718,0,718,0,718,0,56,662,0.922005571,0.005571031,0.077994429,296,2,45,2,9
bmmansou,CSC226-001-STADDON-S16,1089,16,7133.514,6855.072,278.442,6.380602862,3.663710526,6.578763916,10.75199286,0,115,51,102,23,119,138,153,83,70,0.152317881,1.078125,0.266924565,994,5,948,51,999,0,93,906,0.906906907,0.016016016,0.093093093,12,10,55,3,36
rmwalden,CSC226-001-STADDON-S16,1006,12,6332.745,5646.385,686.36,6.136380814,7.075876289,6.038914439,9.800864065,4,84,40,67,4,118,130,65,33,32,0.157958688,1.238095238,0.280172414,914,0,914,0,914,0,91,823,0.900437637,0.013129103,0.099562363,196,4,55,10,33
wtshaw,CSC226-001-STADDON-S16,1334,12,6684.28,6347.526,336.754,4.914911765,4.057277108,4.970654659,9.287950467,0,96,64,97,21,315,148,135,72,63,0.152263374,1.436893204,0.275348837,1043,2,828,217,1045,2,73,972,0.930143541,0.011483254,0.069856459,1,2,52,0,35
bapowers,CSC226-001-STADDON-S16,1750,30,7214.727,7181.255,33.472,4.041863866,0.816390244,4.117692087,7.599403241,10,65,167,66,24,199,139,183,70,113,0.091809775,1.198275862,0.170552147,1557,29,1586,0,1586,6,72,1514,0.954602774,0.018915511,0.045397226,637,2,28,0,19
hzhang27,CSC226-001-STADDON-S16,2165,2,11185.837,10998.274,187.563,5.103027828,2.679471429,5.182975495,9.39939543,16,95,90,115,30,667,159,171,82,89,0.110416667,1.528846154,0.205958549,1521,4,1523,2,1525,20,85,1440,0.944262295,0.001311475,0.055737705,189,8,40,0,51
jahannaf,CSC226-001-STADDON-S16,1179,12,6443.159,6354.628,88.531,5.338159901,1.475516667,5.540216216,9.327684868,0,111,32,89,9,192,120,121,28,93,0.12526096,1.121495327,0.225352113,1015,0,982,33,1015,0,57,958,0.943842365,0.01182266,0.056157635,79,0,43,0,29
wrcoakle,CSC226-001-STADDON-S16,2036,14,8403.303,7895.797,507.506,4.065458636,5.178632653,4.010054342,7.714629143,8,75,94,86,19,619,179,95,56,39,0.135400908,0.983516484,0.238031915,1448,0,1225,223,1448,0,126,1322,0.912983425,0.009668508,0.087016575,170,4,60,2,41
mdsabo,CSC226-001-STADDON-S16,856,7,5504.471,5311.926,192.545,6.212721219,3.008515625,6.46219708,11.43012507,2,50,48,85,7,183,133,58,45,13,0.210110585,1.209090909,0.358008075,701,2,369,334,703,4,70,633,0.900426743,0.009957326,0.099573257,4,2,41,0,9
neashley,CSC226-001-STADDON-S16,1433,9,11427.831,11151.51,276.321,7.784626022,4.764155172,7.90887234,13.17682396,2,95,110,98,40,219,205,140,73,67,0.174468085,1.404109589,0.310370931,1241,8,1038,211,1249,2,74,1175,0.940752602,0.007205765,0.059247398,16,6,36,0,19
slmendez,CSC226-001-STADDON-S16,2257,14,14501.056,13789.726,711.33,6.343419073,10.94353846,6.208791535,11.11656117,0,93,63,136,32,436,155,169,70,99,0.086834734,1.504854369,0.164194915,1843,7,1599,251,1850,0,65,1785,0.964864865,0.007567568,0.035135135,705,0,42,1,2
bhtang,CSC226-001-STADDON-S16,1887,7,16071.839,15383.703,688.136,8.375111516,9.426520548,8.333533586,14.04279315,4,97,96,184,17,418,231,163,85,78,0.163135593,1.661870504,0.297106109,1498,3,1294,207,1501,4,85,1416,0.943371086,0.004663558,0.056628914,138,2,37,0,19
